name,category
"FOR RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY DEVELOPMENT
LAND PARCEL AT UPPER THOMSON ROAD (PARCEL A)",General Guidelines 
"FOR RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY DEVELOPMENT
LAND PARCEL AT UPPER THOMSON ROAD (PARCEL A)",Land Use and Quantum
